,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
56,2012-03-20,33913052.999916054,32851115.489188556,35858591.39038121,33913052.999916054,33913052.999916054,380901.934477365,380901.934477365,380901.934477365,647695.6421764528,647695.6421764528,647695.6421764528,-266793.7076990877,-266793.7076990877,-266793.7076990877,0.0,0.0,0.0,34293954.93439342
57,2012-03-21,33899088.86242872,32814432.885130193,35865384.61546452,33899088.86242872,33899088.86242872,374743.16360747104,374743.16360747104,374743.16360747104,638617.2151337231,638617.2151337231,638617.2151337231,-263874.0515262521,-263874.0515262521,-263874.0515262521,0.0,0.0,0.0,34273832.02603619
58,2012-03-22,33885124.72494138,32813737.71447709,35818153.451999545,33885124.72494138,33885124.72494138,389584.6210933915,389584.6210933915,389584.6210933915,648037.514704396,648037.514704396,648037.514704396,-258452.89361100458,-258452.89361100458,-258452.89361100458,0.0,0.0,0.0,34274709.34603477
59,2012-03-23,33871160.58745404,32806435.239514872,35789693.05428851,33871160.58745404,33871160.58745404,394539.9694892186,394539.9694892186,394539.9694892186,645406.8827424658,645406.8827424658,645406.8827424658,-250866.91325324727,-250866.91325324727,-250866.91325324727,0.0,0.0,0.0,34265700.55694326
60,2012-03-26,33829268.17499203,32745447.398352075,35675591.15617688,33829268.17499203,33829268.17499203,422091.333140206,422091.333140206,422091.333140206,641098.2329830452,641098.2329830452,641098.2329830452,-219006.89984283922,-219006.89984283922,-219006.89984283922,0.0,0.0,0.0,34251359.50813224
61,2012-03-27,33815304.037504695,32829954.816434026,35669675.77709544,33815304.037504695,33815304.037504695,440947.439194982,440947.439194982,440947.439194982,647695.6421779125,647695.6421779125,647695.6421779125,-206748.20298293047,-206748.20298293047,-206748.20298293047,0.0,0.0,0.0,34256251.47669968
62,2012-03-28,33801339.90001736,32851859.40718198,35798523.26409382,33801339.90001736,33801339.90001736,444237.7195035053,444237.7195035053,444237.7195035053,638617.2151337315,638617.2151337315,638617.2151337315,-194379.49563022627,-194379.49563022627,-194379.49563022627,0.0,0.0,0.0,34245577.619520865
63,2012-03-29,33787375.76253002,32725004.97067876,35633213.5645948,33787375.76253002,33787375.76253002,465726.8306357569,465726.8306357569,465726.8306357569,648037.514704149,648037.514704149,648037.514704149,-182310.6840683921,-182310.6840683921,-182310.6840683921,0.0,0.0,0.0,34253102.59316578
64,2012-03-30,33773411.625042684,32755072.08947222,35764729.36177283,33773411.625042684,33773411.625042684,474479.9864894662,474479.9864894662,474479.9864894662,645406.8827392871,645406.8827392871,645406.8827392871,-170926.8962498209,-170926.8962498209,-170926.8962498209,0.0,0.0,0.0,34247891.61153215
65,2012-04-02,33731519.21258068,32740641.13361118,35640435.19139191,33731519.21258068,33731519.21258068,496918.2151332825,496918.2151332825,496918.2151332825,641098.2329846214,641098.2329846214,641098.2329846214,-144180.01785133887,-144180.01785133887,-144180.01785133887,0.0,0.0,0.0,34228437.42771396
